id,name,group,short_description,识别锚点,线条与造型,人物设计,色彩体系,上色与渲染,光影,分镜与版式,材质与表面,最适合题材,避免混淆,GPT_Image_2_5_核心提示词
30,Underground Comix,欧美漫画与图像小说,粗糙、怪诞、反主流和强作者性，常带讽刺与荒诞表达。,怪诞人物、反主流讽刺、粗糙手绘与密集对白,墨线、排线和黑块共同塑形,角色造型和表演必须服务该类型；不要只换滤镜或背景。,成熟限制色或高识别原色,硬边阴影、网点或厚重色块,光影服从题材和类型；关键镜头强化视觉焦点。,动作大格、旁白框和对白框并用,纸张、油墨、网点和复古印刷颗粒可见,选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感,避免商业精修,漫画视觉体系：Underground Comix。核心识别锚点：怪诞人物、反主流讽刺、粗糙手绘与密集对白。线条与造型：墨线、排线和黑块共同塑形。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：成熟限制色或高识别原色。上色/渲染：硬边阴影、网点或厚重色块。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：动作大格、旁白框和对白框并用。材质：纸张、油墨、网点和复古印刷颗粒可见。题材建议：选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感。风格区分：避免商业精修。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
31,Indie Comic,欧美漫画与图像小说,画风个性鲜明、不追求统一商业规范，分镜和线条更自由。,个人作者感、不完美手绘、生活观察与安静留白,墨线、排线和黑块共同塑形,角色造型和表演必须服务该类型；不要只换滤镜或背景。,成熟限制色或高识别原色,硬边阴影、网点或厚重色块,光影服从题材和类型；关键镜头强化视觉焦点。,动作大格、旁白框和对白框并用,纸张、油墨、网点和复古印刷颗粒可见,选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感,避免统一模板,漫画视觉体系：Indie Comic。核心识别锚点：个人作者感、不完美手绘、生活观察与安静留白。线条与造型：墨线、排线和黑块共同塑形。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：成熟限制色或高识别原色。上色/渲染：硬边阴影、网点或厚重色块。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：动作大格、旁白框和对白框并用。材质：纸张、油墨、网点和复古印刷颗粒可见。题材建议：选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感。风格区分：避免统一模板。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
32,Sunday Newspaper Comic,欧美漫画与图像小说,横向短篇连环，画面简洁、节奏轻快，适合幽默日常。,报纸家庭幽默、横向短篇、固定角色,墨线、排线和黑块共同塑形,角色造型和表演必须服务该类型；不要只换滤镜或背景。,成熟限制色或高识别原色,硬边阴影、网点或厚重色块,光影服从题材和类型；关键镜头强化视觉焦点。,动作大格、旁白框和对白框并用,纸张、油墨、网点和复古印刷颗粒可见,选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感,避免复杂长篇,漫画视觉体系：Sunday Newspaper Comic。核心识别锚点：报纸家庭幽默、横向短篇、固定角色。线条与造型：墨线、排线和黑块共同塑形。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：成熟限制色或高识别原色。上色/渲染：硬边阴影、网点或厚重色块。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：动作大格、旁白框和对白框并用。材质：纸张、油墨、网点和复古印刷颗粒可见。题材建议：选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感。风格区分：避免复杂长篇。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
33,Cartoon Strip,欧美漫画与图像小说,人物和场景极度简化，以对白和表情驱动笑点。,极简卡通角色、对白驱动、直接笑点,墨线、排线和黑块共同塑形,角色造型和表演必须服务该类型；不要只换滤镜或背景。,成熟限制色或高识别原色,硬边阴影、网点或厚重色块,光影服从题材和类型；关键镜头强化视觉焦点。,动作大格、旁白框和对白框并用,纸张、油墨、网点和复古印刷颗粒可见,选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感,避免写实细节堆积,漫画视觉体系：Cartoon Strip。核心识别锚点：极简卡通角色、对白驱动、直接笑点。线条与造型：墨线、排线和黑块共同塑形。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：成熟限制色或高识别原色。上色/渲染：硬边阴影、网点或厚重色块。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：动作大格、旁白框和对白框并用。材质：纸张、油墨、网点和复古印刷颗粒可见。题材建议：选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感。风格区分：避免写实细节堆积。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
34,Franco-Belgian Ligne Claire,欧美漫画与图像小说,清晰均匀线条、平涂色彩、环境结构明确，阅读性很强。,均匀清线、平涂色、精确建筑、强可读性,墨线、排线和黑块共同塑形,角色造型和表演必须服务该类型；不要只换滤镜或背景。,成熟限制色或高识别原色,硬边阴影、网点或厚重色块,光影服从题材和类型；关键镜头强化视觉焦点。,动作大格、旁白框和对白框并用,纸张、油墨、网点和复古印刷颗粒可见,选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感,避免厚重阴影,漫画视觉体系：Franco-Belgian Ligne Claire。核心识别锚点：均匀清线、平涂色、精确建筑、强可读性。线条与造型：墨线、排线和黑块共同塑形。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：成熟限制色或高识别原色。上色/渲染：硬边阴影、网点或厚重色块。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：动作大格、旁白框和对白框并用。材质：纸张、油墨、网点和复古印刷颗粒可见。题材建议：选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感。风格区分：避免厚重阴影。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
35,Heavy Metal 科幻漫画,欧美漫画与图像小说,超现实科幻、复杂机械、强烈成人向视觉和幻想世界观。,成人科幻幻想、复杂机械、超现实异星世界,墨线、排线和黑块共同塑形,角色造型和表演必须服务该类型；不要只换滤镜或背景。,成熟限制色或高识别原色,硬边阴影、网点或厚重色块,光影服从题材和类型；关键镜头强化视觉焦点。,动作大格、旁白框和对白框并用,纸张、油墨、网点和复古印刷颗粒可见,选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感,避免儿童卡通,漫画视觉体系：Heavy Metal 科幻漫画。核心识别锚点：成人科幻幻想、复杂机械、超现实异星世界。线条与造型：墨线、排线和黑块共同塑形。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：成熟限制色或高识别原色。上色/渲染：硬边阴影、网点或厚重色块。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：动作大格、旁白框和对白框并用。材质：纸张、油墨、网点和复古印刷颗粒可见。题材建议：选择英雄、犯罪、冒险、家庭或社会题材，突出欧美漫画的结构与印刷感。风格区分：避免儿童卡通。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
36,新国风漫画,东方传统与港漫,水墨、朱砂、青绿与现代数字分镜融合，兼顾东方气韵和商业阅读性。,现代国漫人物+水墨朱砂青绿+东方构成,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免纯古画无漫画节奏,漫画视觉体系：新国风漫画。核心识别锚点：现代国漫人物+水墨朱砂青绿+东方构成。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免纯古画无漫画节奏。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
37,水墨漫画,东方传统与港漫,飞白、泼墨、留白和墨色浓淡构成画面，强调气韵和动作流动。,泼墨飞白、大留白、动作墨迹,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免数码硬边平涂,漫画视觉体系：水墨漫画。核心识别锚点：泼墨飞白、大留白、动作墨迹。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免数码硬边平涂。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
38,工笔漫画,东方传统与港漫,精细线描、克制设色和东方构图，将传统工笔质感转译为漫画叙事。,极细线描、传统设色、工笔衣纹花鸟,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免粗线喷溅,漫画视觉体系：工笔漫画。核心识别锚点：极细线描、传统设色、工笔衣纹花鸟。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免粗线喷溅。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
39,岩彩漫画,东方传统与港漫,矿物色、颗粒质感和厚重表面形成古朴又现代的东方视觉。,矿物颗粒、青金赭石、厚重壁画感,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免光滑渐变,漫画视觉体系：岩彩漫画。核心识别锚点：矿物颗粒、青金赭石、厚重壁画感。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免光滑渐变。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
40,连环画 / 小人书,东方传统与港漫,方形小格、线描人物与旁白文字并重，具有传统叙事出版感。,方形小格、线描人物、图下旁白,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免电影化满版,漫画视觉体系：连环画 / 小人书。核心识别锚点：方形小格、线描人物、图下旁白。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免电影化满版。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
41,木刻连环画,东方传统与港漫,刀刻般粗硬黑白线条和强烈块面反差，画面具有版画力量感。,刀刻粗线、纯黑白块面、木版力量感,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免柔软渐变,漫画视觉体系：木刻连环画。核心识别锚点：刀刻粗线、纯黑白块面、木版力量感。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免柔软渐变。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
42,年画漫画,东方传统与港漫,高饱和民俗色、平面人物和装饰纹样，具有节庆与民间艺术气质。,大红大绿、平面人物、舞狮年节装饰,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免冷灰写实,漫画视觉体系：年画漫画。核心识别锚点：大红大绿、平面人物、舞狮年节装饰。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免冷灰写实。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
43,敦煌壁画漫画,东方传统与港漫,矿物色、飞天式线条、壁画肌理和装饰性构图形成古典幻想感。,飞天曲线、矿物色、风化壁画肌理,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免现代霓虹,漫画视觉体系：敦煌壁画漫画。核心识别锚点：飞天曲线、矿物色、风化壁画肌理。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免现代霓虹。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
44,宋画漫画,东方传统与港漫,克制淡雅、留白充足、景物诗意，强调安静和空间层次。,淡墨山水、景大人小、题跋和诗意留白,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免高饱和爆炸,漫画视觉体系：宋画漫画。核心识别锚点：淡墨山水、景大人小、题跋和诗意留白。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免高饱和爆炸。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
45,武侠漫画,东方传统与港漫,刀光、飞墨、气流、轻功与大幅动作姿态强化江湖感。,轻功刀剑、竹林月夜、飞墨气流,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免现代枪械科幻,漫画视觉体系：武侠漫画。核心识别锚点：轻功刀剑、竹林月夜、飞墨气流。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免现代枪械科幻。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
46,港漫,东方传统与港漫,重墨、强肌理、爆裂构图、巨大招式字和高手对决般的压迫气势。,重墨肌肉、爆裂招式、巨大书法字,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免清淡留白,漫画视觉体系：港漫。核心识别锚点：重墨肌肉、爆裂招式、巨大书法字。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免清淡留白。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
47,90年代港漫,东方传统与港漫,超高密度细节、巨型招式、强色彩与夸张肌肉，视觉非常饱和。,超密细节、极端肌肉、龙虎气劲、强烈撞色,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免现代极简,漫画视觉体系：90年代港漫。核心识别锚点：超密细节、极端肌肉、龙虎气劲、强烈撞色。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免现代极简。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
48,新中式 Editorial Comic,东方传统与港漫,东方审美、现代杂志版式与漫画叙事结合，强调留白、字体和构成。,东方留白、现代时装、杂志版式、文字参与构图,书写性、刀刻感或重墨力量线,角色造型和表演必须服务该类型；不要只换滤镜或背景。,墨色、朱砂、矿物色、青绿或强烈港漫撞色,传统绘画质感与漫画叙事融合,光影服从题材和类型；关键镜头强化视觉焦点。,长卷/留白/题跋或爆裂大格，依具体风格,纸、墨、矿物颜料、木刻或厚重印刷肌理可见,选择武侠、历史、民俗、神话或东方生活题材,避免传统古画复制,漫画视觉体系：新中式 Editorial Comic。核心识别锚点：东方留白、现代时装、杂志版式、文字参与构图。线条与造型：书写性、刀刻感或重墨力量线。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：墨色、朱砂、矿物色、青绿或强烈港漫撞色。上色/渲染：传统绘画质感与漫画叙事融合。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：长卷/留白/题跋或爆裂大格，依具体风格。材质：纸、墨、矿物颜料、木刻或厚重印刷肌理可见。题材建议：选择武侠、历史、民俗、神话或东方生活题材。风格区分：避免传统古画复制。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
49,Anime Cel Shading Comic,动画作画系漫画,以赛璐璐硬阴影和清晰动画造型为主，让漫画像连续动画截图。,动画截图感、1–2级硬边赛璐璐、高光明确,动画线条优先表现动作轮廓,角色造型和表演必须服务该类型；不要只换滤镜或背景。,赛璐璐动画色或原画辅助色,硬阴影、运动变形、原画线或OVA灯光,光影服从题材和类型；关键镜头强化视觉焦点。,像连续动画镜头，动作起势—过程—结果清晰,胶片颗粒、铅笔原画线、运动残影按风格使用,选择追逐、战斗、校园或科幻动作，突出动画镜头与动作变形,避免油画厚涂,漫画视觉体系：Anime Cel Shading Comic。核心识别锚点：动画截图感、1–2级硬边赛璐璐、高光明确。线条与造型：动画线条优先表现动作轮廓。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：赛璐璐动画色或原画辅助色。上色/渲染：硬阴影、运动变形、原画线或OVA灯光。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：像连续动画镜头，动作起势—过程—结果清晰。材质：胶片颗粒、铅笔原画线、运动残影按风格使用。题材建议：选择追逐、战斗、校园或科幻动作，突出动画镜头与动作变形。风格区分：避免油画厚涂。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
50,90s Anime Comic,动画作画系漫画,复古动画色、胶片颗粒和硬阴影，具有老 OVA 与录像带质感。,90s OVA综合色彩、胶片颗粒、夜景霓虹,动画线条优先表现动作轮廓,角色造型和表演必须服务该类型；不要只换滤镜或背景。,赛璐璐动画色或原画辅助色,硬阴影、运动变形、原画线或OVA灯光,光影服从题材和类型；关键镜头强化视觉焦点。,像连续动画镜头，动作起势—过程—结果清晰,胶片颗粒、铅笔原画线、运动残影按风格使用,选择追逐、战斗、校园或科幻动作，突出动画镜头与动作变形,避免现代HDR,漫画视觉体系：90s Anime Comic。核心识别锚点：90s OVA综合色彩、胶片颗粒、夜景霓虹。线条与造型：动画线条优先表现动作轮廓。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：赛璐璐动画色或原画辅助色。上色/渲染：硬阴影、运动变形、原画线或OVA灯光。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：像连续动画镜头，动作起势—过程—结果清晰。材质：胶片颗粒、铅笔原画线、运动残影按风格使用。题材建议：选择追逐、战斗、校园或科幻动作，突出动画镜头与动作变形。风格区分：避免现代HDR。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
51,OVA 动画漫画,动画作画系漫画,细节密度和电影灯光更高，画面像高制作规格动画分镜。,高制作OVA、复杂灯光、细节丰富、电影级背景,动画线条优先表现动作轮廓,角色造型和表演必须服务该类型；不要只换滤镜或背景。,赛璐璐动画色或原画辅助色,硬阴影、运动变形、原画线或OVA灯光,光影服从题材和类型；关键镜头强化视觉焦点。,像连续动画镜头，动作起势—过程—结果清晰,胶片颗粒、铅笔原画线、运动残影按风格使用,选择追逐、战斗、校园或科幻动作，突出动画镜头与动作变形,避免廉价平涂,漫画视觉体系：OVA 动画漫画。核心识别锚点：高制作OVA、复杂灯光、细节丰富、电影级背景。线条与造型：动画线条优先表现动作轮廓。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：赛璐璐动画色或原画辅助色。上色/渲染：硬阴影、运动变形、原画线或OVA灯光。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：像连续动画镜头，动作起势—过程—结果清晰。材质：胶片颗粒、铅笔原画线、运动残影按风格使用。题材建议：选择追逐、战斗、校园或科幻动作，突出动画镜头与动作变形。风格区分：避免廉价平涂。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
